,customer_unique_id,productId,estimator
28371,6b88451897a1732390441060cbb92f0a,014a8a503291921f7b004a5215bb3c36,0.0
28410,700bca91ce2b57d63ac40d9a28097da8,014a8a503291921f7b004a5215bb3c36,1.0
28504,7959ffbef5378bff095bae2150070250,014a8a503291921f7b004a5215bb3c36,0.0
28871,9d841a91b5b7d1451157dbc8cd94ae8e,014a8a503291921f7b004a5215bb3c36,0.0
29516,e28538e3001edb06752b7fc98b6ed97e,014a8a503291921f7b004a5215bb3c36,0.0
33336,6afe12a6671753d4c6e52acc8438910b,0152f69b6cf919bcdaf117aa8c43e5a2,0.0
33824,9bc618f4342f7a10359d134f63241aa9,0152f69b6cf919bcdaf117aa8c43e5a2,0.0
34678,f526077dd7bdfdb1a6e10cd6b194b548,0152f69b6cf919bcdaf117aa8c43e5a2,1.0
34747,fb920961e4d8e55fd9c357976a611765,0152f69b6cf919bcdaf117aa8c43e5a2,1.0
146620,005754cb59f8ee5cdbb5cda9d138757e,05f0fe07929d35be0748fac56eecbeb2,0.0
147456,57f36f673a04f9fa8e90f54920061a9d,05f0fe07929d35be0748fac56eecbeb2,1.0
148870,eaba6c1c62884cc102920d3cd01bb8d8,05f0fe07929d35be0748fac56eecbeb2,0.0
150559,96701d73665eab8fc6fecb9863266efe,060cb19345d90064d1015407193c233d,1.0
150748,aaad6d68de5490cba508e4203ddc87de,060cb19345d90064d1015407193c233d,0.0
151016,c735c714dbe80672320182bb48bba3ba,060cb19345d90064d1015407193c233d,0.0
189270,297c96c54137df28ac996350c38196d4,06edb72f1e0c64b14c5b79353f7abea3,0.0
189471,3ecd7605ac791ae065e2ab8512934e5e,06edb72f1e0c64b14c5b79353f7abea3,1.0
190188,8a3b2a4cc28d91f16a8e0dc4d08bc0ba,06edb72f1e0c64b14c5b79353f7abea3,0.0
190745,c4912bc35e8078d9238b56975dfdf104,06edb72f1e0c64b14c5b79353f7abea3,1.0
199482,477f7f182e8da105ba6713c0d5a24f15,0705b33fb285827a578fce4899f1b921,0.0
200427,a84aef39a04e5f69d51765a8a7e6a597,0705b33fb285827a578fce4899f1b921,1.0
236205,0ac10a57d07e3d38b11f66283c44672b,08056d78bb75ed3ace107c72c16ec511,1.0
236781,49e32d4f13ac76d97d32f1a6e2b37df4,08056d78bb75ed3ace107c72c16ec511,0.0
333506,3401b2c012028523ff2264050b7f68b3,0a57f7d2c983bcf8188589a5fea4a8da,0.0
334031,6c2f6983a60ac0dc8a9ee65579959538,0a57f7d2c983bcf8188589a5fea4a8da,1.0
378484,50344414b85e2dc2ef9fc59c456aab28,0bcc3eeca39e1064258aa1e932269894,0.0
378594,5af895ee7ff98368a5bf6faeddd18cec,0bcc3eeca39e1064258aa1e932269894,1.0
378796,70115d0e9a0d564ff0bb0315ccaae0eb,0bcc3eeca39e1064258aa1e932269894,0.0
379344,a78856b0e5b47a539274777a789acd6c,0bcc3eeca39e1064258aa1e932269894,0.0
510504,703ad0f8e84588554b834ea24c894ea5,1034b97aafcca692c8a2157f58f5b637,0.0
511657,e8006a297a4d7f1e1b15fafc296ad757,1034b97aafcca692c8a2157f58f5b637,1.0
612102,53450c9f7c8f500dfffa60a6e1f8187b,130482add9fd75ccb6c57ba007694a2d,1.0
613534,e73ccd01efa72e05476abdfa25f36208,130482add9fd75ccb6c57ba007694a2d,1.0
613750,fb82affcdf98ee48d9d36c7feb802417,130482add9fd75ccb6c57ba007694a2d,0.0
631798,3e5306add1209e5ba184092dd1587282,138dac44dc568cd36c6f1d1e5e181d5d,0.0
633525,f1939ce96b04762f66d2379397610d33,138dac44dc568cd36c6f1d1e5e181d5d,1.0
646884,523b7915f240831d06b34ab9b804a200,142edaf86e4eb5d0f928534667ab63f7,0.0
647316,7e3ddeb77eebb835c1d0721b5e203791,142edaf86e4eb5d0f928534667ab63f7,1.0
676922,67fcfe4915b93624867d350b8191ff7b,154e7e31ebfa092203795c972e5804a6,0.0
676984,6e6fdec52c6dbf58721bf7a4eaf5b679,154e7e31ebfa092203795c972e5804a6,1.0
677090,7973a6ba9c81ecaeb3d628c33c7c7c48,154e7e31ebfa092203795c972e5804a6,0.0
677181,82809cee3c35eb89b4dd4d2d1a22eedf,154e7e31ebfa092203795c972e5804a6,0.0
677209,851eefea71a07755f017e75fae31f2fd,154e7e31ebfa092203795c972e5804a6,0.0
677377,964c3e09819399f8ed3e589a1c9a95e8,154e7e31ebfa092203795c972e5804a6,1.0
677617,afc79cb8de7d350f1909eb6dcd0cb8dc,154e7e31ebfa092203795c972e5804a6,1.0
677677,b65b4e0ccf23f096b3eb8bce350a400a,154e7e31ebfa092203795c972e5804a6,0.0
677733,bb4d84a2b45b22ed710ac8c0dec63d1a,154e7e31ebfa092203795c972e5804a6,0.0
677790,c25d2fb6d22e04ce43c3652e3cacadad,154e7e31ebfa092203795c972e5804a6,0.0
678131,e5b6fb6c5e7e4adc25a5e400c0104508,154e7e31ebfa092203795c972e5804a6,0.0
678194,ec99f30f38afadbfbae32d5883734ded,154e7e31ebfa092203795c972e5804a6,0.0
678223,eed42da7ee2f3ce26ab52758e63d855f,154e7e31ebfa092203795c972e5804a6,0.0
678290,f4ff1a79dac99d99375405621276c176,154e7e31ebfa092203795c972e5804a6,0.0
710734,01f382f4c95df31e05e27f1151a015a0,1612209b0b37fbe80e1e8e1b7d19ca1d,1.0
711087,24fee3e769e87ce93288b0d46811bb1c,1612209b0b37fbe80e1e8e1b7d19ca1d,1.0
713066,f3d7cb12e7dc54a424d935aae4426461,1612209b0b37fbe80e1e8e1b7d19ca1d,0.0
723270,0b6d4f036c07e10854affe43fc4e718c,165f86fe8b799a708a20ee4ba125c289,0.0
723843,49f098d93c4bbe47548b9351fb2a76ce,165f86fe8b799a708a20ee4ba125c289,1.0
724844,b14ef688a7c1a52e7437298085d9d62b,165f86fe8b799a708a20ee4ba125c289,1.0
725329,e374f0ed9ec35b9af339460a75c4d096,165f86fe8b799a708a20ee4ba125c289,0.0
807652,0241fa2e9adf0576cb0f845377d05c03,18b0e642cbae7251e60a64aa07dd9eb9,0.0
808708,709c4c5ec8924ff8c85de5801b65458b,18b0e642cbae7251e60a64aa07dd9eb9,1.0
810034,f90940bd21d1ea482d06b952e7c30916,18b0e642cbae7251e60a64aa07dd9eb9,1.0
